source_id,source_type,publisher,title,url,version,observed_at,verification_scope
cmsis:TexasInstruments.AM13E230X_DFP@1.0.0,cmsis_pdsc,TexasInstruments,TexasInstruments.AM13E230X_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/AM13E230X/latest/exports/TexasInstruments.AM13E230X_DFP.pdsc,1.0.0,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSP432E4_DFP@3.2.6,cmsis_pdsc,TexasInstruments,TexasInstruments.MSP432E4_DFP,https://software-dl.ti.com/msp430/msp430_public_sw/mcu/msp430/msp432cmsis/latest/exports/TexasInstruments.MSP432E4_DFP.pdsc,3.2.6,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSP432P4xx_DFP@3.2.6,cmsis_pdsc,TexasInstruments,TexasInstruments.MSP432P4xx_DFP,https://software-dl.ti.com/msp430/msp430_public_sw/mcu/msp430/msp432cmsis/latest/exports/TexasInstruments.MSP432P4xx_DFP.pdsc,3.2.6,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0C110X_DFP@1.2.0,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0C110X_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0C110X/latest/exports/TexasInstruments.MSPM0C110X_DFP.pdsc,1.2.0,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0G1X0X_G3X0X_DFP@1.3.1,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0G1X0X_G3X0X_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0G1X0X_G3X0X/latest/exports/TexasInstruments.MSPM0G1X0X_G3X0X_DFP.pdsc,1.3.1,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0G511X_G518X_DFP@1.0.0,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0G511X_G518X_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0G511X_G518X/latest/exports/TexasInstruments.MSPM0G511X_G518X_DFP.pdsc,1.0.0,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0GX218_GX207_DFP@1.0.0,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0GX218_GX207_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0GX218_GX207/latest/exports/TexasInstruments.MSPM0GX218_GX207_DFP.pdsc,1.0.0,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0GX51X_DFP@1.0.0,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0GX51X_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0GX51X/latest/exports/TexasInstruments.MSPM0GX51X_DFP.pdsc,1.0.0,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0H321X_DFP@1.0.0,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0H321X_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0H321X/latest/exports/TexasInstruments.MSPM0H321X_DFP.pdsc,1.0.0,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0L111X_DFP@1.0.0,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0L111X_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0L111X/latest/exports/TexasInstruments.MSPM0L111X_DFP.pdsc,1.0.0,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0L11XX_L13XX_DFP@1.3.1,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0L11XX_L13XX_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0L11XX_L13XX/latest/exports/TexasInstruments.MSPM0L11XX_L13XX_DFP.pdsc,1.3.1,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM0L122X_L222X_DFP@1.1.1,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM0L122X_L222X_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM0L122X_L222X/latest/exports/TexasInstruments.MSPM0L122X_L222X_DFP.pdsc,1.1.1,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPM33C321A_DFP@1.0.0,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPM33C321A_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPM33C321A/latest/exports/TexasInstruments.MSPM33C321A_DFP.pdsc,1.0.0,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:TexasInstruments.MSPS003FX_DFP@1.1.1,cmsis_pdsc,TexasInstruments,TexasInstruments.MSPS003FX_DFP,https://software-dl.ti.com/msp430/esd/MSPM0-CMSIS/MSPS003FX/latest/exports/TexasInstruments.MSPS003FX_DFP.pdsc,1.1.1,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
ti:c2000ware-core-sdk,official_family_index,Texas Instruments,TI C2000Ware core SDK product-family index,https://raw.githubusercontent.com/TexasInstruments/c2000ware-core-sdk/main/README.md,main,2026-08-31T11:48:48+00:00,Official TI C2000Ware README lists C2000 product lines; exact values come from each linked data sheet.
ti:datasheet:tms320f2800137,manufacturer_datasheet,Texas Instruments,TI TMS320F2800137 data sheet,https://www.ti.com/lit/ds/symlink/tms320f2800137.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f2800157,manufacturer_datasheet,Texas Instruments,TI TMS320F2800157 data sheet,https://www.ti.com/lit/ds/symlink/tms320f2800157.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f280025c,manufacturer_datasheet,Texas Instruments,TI TMS320F280025C data sheet,https://www.ti.com/lit/ds/symlink/tms320f280025c.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f280039c,manufacturer_datasheet,Texas Instruments,TI TMS320F280039C data sheet,https://www.ti.com/lit/ds/symlink/tms320f280039c.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f280049c,manufacturer_datasheet,Texas Instruments,TI TMS320F280049C data sheet,https://www.ti.com/lit/ds/symlink/tms320f280049c.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f28027,manufacturer_datasheet,Texas Instruments,TI TMS320F28027 data sheet,https://www.ti.com/lit/ds/symlink/tms320f28027.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f28035,manufacturer_datasheet,Texas Instruments,TI TMS320F28035 data sheet,https://www.ti.com/lit/ds/symlink/tms320f28035.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f28069,manufacturer_datasheet,Texas Instruments,TI TMS320F28069 data sheet,https://www.ti.com/lit/ds/symlink/tms320f28069.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f28075,manufacturer_datasheet,Texas Instruments,TI TMS320F28075 data sheet,https://www.ti.com/lit/ds/symlink/tms320f28075.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f28335,manufacturer_datasheet,Texas Instruments,TI TMS320F28335 data sheet,https://www.ti.com/lit/ds/symlink/tms320f28335.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f28379d,manufacturer_datasheet,Texas Instruments,TI TMS320F28379D data sheet,https://www.ti.com/lit/ds/symlink/tms320f28379d.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
ti:datasheet:tms320f28388d,manufacturer_datasheet,Texas Instruments,TI TMS320F28388D data sheet,https://www.ti.com/lit/ds/symlink/tms320f28388d.pdf,live,2026-08-31T11:48:48+00:00,Exact TI data sheet for the named C2000 device; specifications are not inferred from sibling variants.
